indicator,yearmonth,platformid,merchantnumber,merchantname,level1,level2,level3,element,buyrate,merchantbillingcode,merchantbillingcodename,revn_byrt_in,clientormerchant_in,volume,amount,bnkid,date
EXPENSE,202212,FD,12253000100005573,CLIENT LEVEL EXPENSE,PASS-THRU EXPENSE,MERCHANT POSTAGE 1OZ,MERCHANT POSTAGE 1OZ,5971,625971,5971,MERCHANT POSTAGE 1OZ,EXPENSE,C,0.0000,0.6000000,3000,12/01/2022
EXPENSE,202212,FD,12253000100005573,CLIENT LEVEL EXPENSE,RESIDUAL REDIRECTION,RESIDUAL REDIRECTION,RESIDUAL REDIRECTION, ,800010,SM_ISO7_MONTHLY_RESIDUAL_REDIRECTION,RESIDUAL REDIRECTION,EXPENSE,C,0.0000,0.0000000,3000,12/01/2022
EXPENSE,202212,FD,12253000100005573,CLIENT LEVEL EXPENSE,RESIDUAL REDIRECTION,RESIDUAL REDIRECTION,RESIDUAL REDIRECTION, ,800004,SM_ISO7_MONTHLY_RESIDUAL_REDIRECTION - 2,RESIDUAL REDIRECTION,EXPENSE,C,0.0000,0.0000000,3000,12/01/2022
EXPENSE,202212,FD,5230723001000078,GO PRIMO,PASS-THRU EXPENSE,MC LOCATION FEE,MC LOCATION FEE,,820001,MSTLCTNF103_E,LOCATION FEE,EXPENSE,M,0.0000,0.0000000,3000,12/01/2022
EXPENSE,202212,FD,5230723001000078,GO PRIMO,PASS-THRU EXPENSE,VISA FILE TRANSMISSION FEE,VISA FILE TRANSMISSION FEE,,,VSAFLTMF403_E,FILE TRANSMISSION FEE,EXPENSE,M,0.0000,0.0000000,3000,12/01/2022
EXPENSE,202212,FD,5230723001000078,GO PRIMO,PASS-THRU EXPENSE,AMEX OPT BLUE NETWORK FEE,AMEX OPT BLUE NETWORK FEE,,820001,AMXNTWRK4303_E,AMEX OPT BLUE NETWORK FEE,EXPENSE,M,0.0000,0.0000000,3000,12/01/2022
EXPENSE,202212,FD,5230723001000078,GO PRIMO,PASS-THRU EXPENSE,MC LICENSE FEE,MC LICENSE FEE,,820012,FD_DERIVED_05_1,MC LICENSE FEE,EXPENSE,M,0.0000,0.0000000,3000,12/01/2022
EXPENSE,202212,FD,5230723001000078,GO PRIMO,PASS-THRU EXPENSE,ACQ PROC FEE AUTH RVSL DB,ACQ PROC FEE AUTH RVSL DB,,820001,VSAAPFDR404_E,ACQ PROC FEE AUTH RVSL DB,EXPENSE,M,0.0000,0.0000000,3000,12/01/2022
EXPENSE,202212,FD,5230723001000078,GO PRIMO,PASS-THRU EXPENSE,ACH DEDUCTION,ACH DEDUCTION,,,ACHREJNETDED,ACH REJECT DEDUCTION,EXPENSE,M,0.0000,34.9000000,3000,12/01/2022
EXPENSE,202212,FD,5230723001000078,GO PRIMO,PASS-THRU EXPENSE,PROCESSING INTEGRITY FEE-FINAL AUTHORIZATION,MCPIF- - FINAL AUTHORIZATION MINIMUM TOTAL,,,MSTPIFAV103_E,MCPIF- - FINAL AUTHORIZATION MINIMUM TOTAL,EXPENSE,M,0.0000,0.0000000,3000,12/01/2022
EXPENSE,202212,FD,5230723001000078,GO PRIMO,PASS-THRU EXPENSE,INTRNTL RETURN FEE DB,INTRNTL RETURN FEE DB,,820001,VSAIAPFD404_E,INTRNTL RETURN FEE DB,EXPENSE,M,0.0000,0.0000000,3000,12/01/2022
EXPENSE,202212,FD,5230723001000078,GO PRIMO,PASS-THRU EXPENSE,PROCESSING INTEGRITY FEE-FINAL AUTHORIZATION MINIMUM,MCPIF- - FINAL AUTHORIZATION TOTAL,,,MSTPIFAI103_E,MCPIF- - FINAL AUTHORIZATION TOTAL,EXPENSE,M,0.0000,0.0000000,3000,12/01/2022
EXPENSE,202212,FD,5230723001000078,GO PRIMO,PASS-THRU EXPENSE,PROCESSING INTEGRITY FEE-IMAGE FEE,MCPIF- - IMAGE FEE TOTAL,,,MSTIMGFE103_E,MCPIF- - IMAGE FEE TOTAL,EXPENSE,M,0.0000,0.0000000,3000,12/01/2022
EXPENSE,202212,FD,5230723001000078,GO PRIMO,PASS-THRU EXPENSE,MC KILOBYTE FEE AMOUNT,MC KILOBYTE FEE AMOUNT,,,MSTKILOB103_E,MC KILOBYTE FEE,EXPENSE,M,0.0000,0.0000000,3000,12/01/2022
EXPENSE,202212,FD,5230723001000078,GO PRIMO,PASS-THRU EXPENSE,KILOBYTE AUTH FEE US,KILOBYTE AUTH FEE US,,820001,MSTKBAUS103_E,KILOBYTE AUTH FEE US,EXPENSE,M,0.0000,0.0000000,3000,12/01/2022
EXPENSE,202212,FD,5230723001000078,GO PRIMO,PASS-THRU EXPENSE,DISCOVER AUTH FEE,DISCOVER AUTH FEE,,,DSCAUTH6103_E,DISC AUTH FEE,EXPENSE,M,0.0000,0.0000000,3000,12/01/2022
EXPENSE,202212,FD,5230723001000078,GO PRIMO,PROCESSING EXPENSE,BANKCARD TRANSACTIONS,RETURN TRANSACTIONS - OPT BLUE,5714,615714,53143CREDIT,AMERICAN EXPRESS BLUE,EXPENSE,M,0.0000,0.0000000,3000,12/01/2022
EXPENSE,202212,FD,5230723001000078,GO PRIMO,PROCESSING EXPENSE,BANKCARD DATAWIRE AUTHS,DATAWIRE AUTHS MASTERCARD,3521,623521,1KCREDIT,DATAWIRE,EXPENSE,M,0.0000,0.0000000,3000,12/01/2022
EXPENSE,202212,FD,5230723001000078,GO PRIMO,PROCESSING EXPENSE,BASE DISCOUNT,BASE DISCOUNT VISA,9998,629998,FD_DERIVED_05_4,BASE DISCOUNT,EXPENSE,M,0.0000,0.0000000,3000,12/01/2022
EXPENSE,202212,FD,5230723001000078,GO PRIMO,PROCESSING EXPENSE,REGULATORY PRODUCT FEE,REGULATORY PRODUCT FEE,5873,625873,FD_DERIVED_02,REGULATORY PRODUCT FEE,EXPENSE,M,1.0000,1.0000000,3000,12/01/2022
EXPENSE,202212,FD,5230723001000078,GO PRIMO,PROCESSING EXPENSE,AMEX OPT BLUE INDUSTRY FEES,AXB PSF RESTAURANT,6058,626054,53143CREDIT,AXB PSF RESTAURANT,EXPENSE,M,0.0000,0.0000000,3000,12/01/2022
EXPENSE,202212,FD,5230723001000078,GO PRIMO,PROCESSING EXPENSE,BASE DISCOUNT,BASE DISCOUNT DISCOVER ACQ,9998,629998,FD_DERIVED_05_61,BASE DISCOUNT,EXPENSE,M,0.0000,0.0000000,3000,12/01/2022
EXPENSE,202212,FD,5230723001000078,GO PRIMO,PROCESSING EXPENSE,TIN TFN BLANK OR INVALID,TIN TFN BLANK OR INVALID,5868,625868,IDW-MT-00100_C,TIN/TFN BLANK OR INVALID,EXPENSE,M,0.0000,0.0000000,3000,12/01/2022
EXPENSE,202212,FD,5230723001000078,GO PRIMO,PROCESSING EXPENSE,ACCESS ONE GOLD MONTHLY FEE,ACCESS ONE GOLD MONTHLY FEE,5980,625980,5980,ACCESS ONE GOLD,EXPENSE,M,1.0000,2.0000000,3000,12/01/2022
