date,bnkid,bnkid_remap,indicator,yearmonth,platformid,merchantnumber,merchantname,level1,level2,level3,element,buyrate,merchantbillingcode,merchantbillingcodename,revn_byrt_in,clientormerchant_in,volume,volume_factor,volume_cost,amount,amount_factor,amount_cost,amount_after_cost
12/01/2022,2900,2900,EXPENSE,202212,FD,5230722901001202,BRICKYARD PIZZA,PROCESSING EXPENSE,12B LETTER,12B LETTER,5727,625727,IDW-MT-00054_C,12B LETTER,EXPENSE,M,0,0,0,0,0,0,0
12/01/2022,2900,2900,SALES,202212,FD,5230722901001202,BRICKYARD PIZZA,SALES VOLUME,PIN DEBIT SALES VOLUME,SALES VOLUME - STAR DEBIT,0000,,-221DEBIT,STAR DEBIT,SALES,M,0,0,0,0,0,0,0
12/01/2022,2900,2900,SALES,202212,FD,5230722901001202,BRICKYARD PIZZA,SALES VOLUME,PIN DEBIT SALES VOLUME,SALES VOLUME - STAR DEBIT,0000,,-218DEBIT,STAR DEBIT,SALES,M,0,0,0,0,0,0,0
12/01/2022,2900,2900,SALES,202212,FD,5230722901001202,BRICKYARD PIZZA,SALES VOLUME,PIN DEBIT SALES VOLUME,SALES VOLUME - CU24 DEBIT,0000,,-225DEBIT,CU24 DEBIT,SALES,M,0,0,0,0,0,0,0
12/01/2022,2900,2900,EXPENSE,202212,FD,5230722901001228,NUEVO LAREDO CANTINA,PASS-THRU EXPENSE,ICA SHARED FEE,ICA SHARED FEE,,820010,CSTMSTBI,ICA SHARED FEE,EXPENSE,M,2,0,0,-0.015599999576807022,0,0,-0.015599999576807022
12/01/2022,2900,2900,REVENUE,202212,FD,5230722901001657,DAHLIA MEXICAN KITCHEN,PASS-THRU REVENUE,VISA BIN ICA,VISA BIN ICA,,,CSTVSABI404_I,VISA BIN ICA,REVENUE,M,0,0,0,0,0,0,0
12/01/2022,2900,2900,REVENUE,202212,FD,5230722901001699,CAPITINI`S ITALIAN DELI,PASS-THRU REVENUE,VISA BIN ICA,VISA BIN ICA,,,IDW-CT-000364DEBIT_I,BIN/ICA AMOUNT,REVENUE,M,194,0,0,0,0,0,0
12/01/2022,2900,2900,RETURN,202212,FD,5230722901001780,WAYNE MEMORIAL HOSPITAL,SALES VOLUME,BANKCARD VOLUME,SALES VOLUME - VISA,0000,,0074CREDIT,VISA,RETURN,M,0,0,0,0,0,0,0
12/01/2022,2900,2900,REVENUE,202212,FD,5230722901001780,WAYNE MEMORIAL HOSPITAL,PASS-THRU REVENUE,VISA BIN ICA,VISA BIN ICA,,,CSTVSABI404_I,VISA BIN ICA,REVENUE,M,1087,0,0,1.0800000429153442,0,0,1.0800000429153442
12/01/2022,2900,2900,EXPENSE,202212,FD,5230722901002770,WINGS,PASS-THRU EXPENSE,EMV SECURE CODE,EMV SECURE CODE,,,MST3DSAA103_E,MC 3DS-2 EMV SECURECODE,EXPENSE,M,0,0,0,0,0,0,0
